ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,sex,Age,Estimate,Year
521,Kwahu Afram Plains North,Kwahu Afram Plains North,KWAHU AFRAM PLAINS NORTH,423,Kwahu North,Kwahu North,Eastern,2346311789,2346,m,40,3586,2015
522,Upper West Akim,Upper West Akim,UPPER WEST AKIM,409,Akim West,Akim West,Eastern,342793960.2,343,m,40,2976,2015
523,Akwapem South,Akwapem South,AKWAPEM SOUTH,420,Akwapim South,Akwapim South,Eastern,224539878,225,m,40,1602,2015
524,Ayensuano,Ayensuano,AYENSUANO,408,Suhum Kraboa Coaltar,Suhum Kraboa Coaltar,Eastern,499771116.8,500,m,40,2613,2015
525,Denkyembour,Denkyembour,DENKYEMBOUR,422,Kwaebibirem,Kwaebibirem,Eastern,436728895.4,437,m,40,2615,2015
526,Kwahu Afram Plains South,Kwahu Afram Plains South,KWAHU AFRAM PLAINS SOUTH,423,Kwahu North,Kwahu North,Eastern,3100130372,3100,m,40,5027,2015
601,Atwima Mponua,Atwima Mponua,ATWIMA MPONUA,518,Atwima Mponua,Atwima Mponua,Ashanti,1882299756,1882,m,40,4194,2015
602,Amansie West,Amansie West,AMANSIE WEST,512,Amansie West,Amansie West,Ashanti,1230683968,1231,m,40,4173,2015
603,Amansie Central,Amansie Central,AMANSIE CENTRAL,517,Amansie Central,Amansie Central,Ashanti,849546248.2,850,m,40,2340,2015
604,Adansi South,Adansi South,ADANSI SOUTH,515,Adansi South,Adansi South,Ashanti,1328606202,1329,m,40,4248,2015
605,"Obuasi, Ashanti",Obuasi Municipal,OBUASI MUNICIPAL,502,Obuasi,Obuasi,Ashanti,220695241.8,221,m,40,3744,2015
606,Adansi North,Adansi North,ADANSI NORTH,516,Adansi North,Adansi North,Ashanti,853914797.6,854,m,40,3174,2015
607,Bekwai Municipal,Bekwai Municipal,BEKWAI MUNICIPAL,504,Bekwai,Bekwai,Ashanti,535349827.6,535,m,40,4081,2015
608,Bosome Freho,Bosome Freho,BOSOME FREHO,520,Bosome Freho,Bosome Freho,Ashanti,569063268.2,569,m,40,1553,2015
609,Asante Akim South,Asante Akim South,ASANTE AKIM SOUTH,513,Asante Akim South,Asante Akim South,Ashanti,1154146997,1154,m,40,3562,2015
610,Asante Akim Central Municipal,Asante Akim Central Municipal,ASANTE AKIM CENTRAL MUNICIPAL,528,Asante Akim North,Asante Akim North,Ashanti,300426025.5,300,m,40,1479,2015
611,Ejisu Juaben,Ejisu Juaben,EJISU JUABEN MUNICIPAL,503,Ejisu Juaben,Ejisu Juaben,Ashanti,582699036,583,m,40,4707,2015
612,Bosomtwe /Atwima / Kwanwoma,Bosomtwe /Atwima / Kwanwoma,BOSUMTWI,527,Bosomtwe,Bosomtwe,Ashanti,422606561.5,423,m,40,3185,2015
613,Atwima Kwanwoma,Atwima Kwanwoma,ATWIMA KWANWOMA,521,Atwima Kwamwoma,Atwima Kwamwoma,Ashanti,251521789.6,252,m,40,3202,2015
614,Kma,Kma,KUMASI METROPOLIS,501,Kumasi,Kumasi,Ashanti,214312257.8,214,m,40,65035,2015
