District,BuiltAr,BuiltInten,Urbanizati,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,Precip,NDVI,Med_Inc,clustnew
Ketu South,72.45430615,0.255616,46.55129513,2,3,2,3,3,3,3,0.096542977,0.235051032,14.42141206,2
Kintampo North,7.323721696,0.00145645,56.77838291,24,45,39,42,95,67,147,0.120895852,0.310120211,21.96366,3
Kintampo South,5.632283778,0.00362614,8.933333333,5,13,12,18,27,23,22,0.118609198,0.380675703,16.54539,2
Komenda-Edna-Eguafo-Abirem,76.43751099,0.166439,35.72094952,2,3,4,5,6,6,4,0.127387133,0.351108935,21.17809,1
Kpandai,0.408983262,0.000350984,9.947066608,6,10,12,11,19,20,17,0.105094672,0.272651388,8.934508,2
Kpando,5.516892072,0.0171911,22.66221958,2,2,1,2,3,3,2,0.112904108,0.263699696,13.63359,1
Kpone-Katamanso,80.08038333,0.328256,26.76710916,1,2,1,2,2,2,2,0.099468209,0.234008312,14.45145411,1
Krachi East,3.317146385,0.00117239,27.73877607,11,15,15,18,34,29,36,0.141099387,0.171961896,10.88128,1
Krachi Nchumuru,1.511777414,0.00123135,6.613988714,6,9,11,11,18,22,13,0.112112542,0.245246183,8.180155,2
Krachi West,2.297609539,0.00241177,12.95441553,4,8,8,9,17,17,20,0.143985858,0.148726213,10.2765898,2
Kumasi Metro,206.2254278,0.942793,52.000214,1,2,1,1,1,1,1,0.139577332,0.199072124,42.31016,3
Kumbungu,0.451342243,0.000282482,2.429638315,7,15,13,11,29,12,32,0.110981816,0.241464741,2.978169,2
Kwabre East,51.69402364,0.411653,58.02554606,1,1,1,1,1,1,1,0.130713557,0.277710699,21.17809,1
Kwaebibirem,21.96970443,0.0268336,21.43060804,2,5,4,7,13,3,14,0.121793798,0.373705347,19.641165,1
Kwahu East,10.290311,0.0161702,32.8726094,2,5,3,6,9,8,12,0.143714069,0.412645191,12.57449,2
Kwahu North,15.29451334,0.00639521,10.92957605,9,10,7,14,22,25,31,0.140217448,0.132484239,8.8981715,2
Kwahu South,15.48147712,0.0190616,27.05678283,2,5,3,6,11,9,16,0.140777252,0.35428713,17.88524,1
Kwahu West,27.61075214,0.067511,51.25662506,2,3,2,4,6,2,7,0.139626063,0.382255274,20.23204,2
La-Dade-Kotopon,29.61769143,0.808686,47.90050359,1,1,1,1,1,1,1,0.094478504,0.178732012,2.647262,2
La-Nkwantanang-Madina,34.51380534,0.478756,37.57141348,1,1,1,1,1,1,1,0.103399037,0.250896721,8.180155,2
Lambussie-Karni,0.603250311,0.000755139,13.29809889,4,5,7,8,14,14,5,0.106532633,0.246673224,14.99695,2
Lawra,0.666058455,0.00121136,5.400283795,3,4,6,5,8,9,3,0.107478653,0.230273823,9.059126447,1
Ledzokuku-Krowor,46.62993447,0.964471,100,1,1,1,1,1,1,1,0.101068665,0.161486112,6.816796,2
Lower-Manya Krobo,11.76119009,0.0379373,83.73820675,1,2,1,2,3,2,3,0.114117677,0.409309044,7.839315,2
Mamprugu-Moagduri,0.315501373,0.000143052,2.27880357,11,20,16,19,51,15,52,0.104631614,0.246402596,2.647262,2
Mfantsiman,72.0511655,0.235925,33.32589965,1,2,2,3,4,3,2,0.115891559,0.340542982,23.51761,1
Mion,0.23662603,8.82E-05,1.335721027,15,24,22,16,52,24,48,0.110502611,0.262405391,3.510091,2
Mpohor,8.639771407,0.0162306,7.757694981,3,3,4,6,8,5,7,0.13379514,0.358979009,9.126237,2
Nabdam,0.143144142,0.000559968,3.312279267,2,2,2,2,3,1,2,0.107004413,0.245112808,16.948445,1
Nadowli-Kaleo,0.362242318,0.000308817,0,6,8,10,9,15,20,5,0.106823863,0.262980275,14.437605,2
Nandom,0.758079689,0.00176456,7.86646808,2,3,4,4,7,7,3,0.107595815,0.228815664,5.967155,2
Nanumba North,0.839876341,0.000341807,28.25177986,13,21,21,18,37,23,48,0.109829319,0.26709377,8.180155,1
Nanumba South,0.41482588,0.000225028,17.88068133,9,16,17,15,27,22,28,0.104138533,0.278552816,5.265137,2
New Juaben,25.38909663,0.156067,93.27752589,1,1,1,1,1,1,1,0.129287801,0.384500627,20.00752,1
Ningo Prampram,142.9513353,0.225897,30.62133289,3,5,4,6,7,11,8,0.103786988,0.206148136,10.88128,2
Nkoranza North,5.497903563,0.00386739,18.46270582,4,11,10,15,20,17,18,0.108550659,0.378927065,9.927231,2
Nkoranza South,14.24430275,0.0150745,47.12124365,3,7,7,9,13,13,13,0.107467853,0.3636494,18.74619,1
Nkwanta North,0.479094678,0.000423541,28.08080182,7,10,9,8,13,13,35,0.149055327,0.272914924,8.934508,1
Nkwanta South,1.091108916,0.000390221,25.57389844,12,26,22,28,49,37,49,0.146986635,0.363505457,9.9057925,2
North Dayi,3.190069442,0.0067516,8.900317125,2,2,1,2,3,3,5,0.10651819,0.186723103,8.6372365,2
North Gonja,0.465948788,9.28E-05,6.775721356,22,51,44,39,119,52,148,0.119624932,0.309629307,2.457064,2
North Tongu,12.16725204,0.0105589,13.66442422,5,7,7,13,17,17,19,0.14368549,0.304312541,8.1729515,2
Nsawam-Adoagyiri,13.91857679,0.0781886,39.59979683,1,2,1,2,3,1,2,0.133983798,0.345490133,20.51628,3
Nzema East,11.39310515,0.0103584,33.95640166,6,8,8,11,19,7,27,0.153100868,0.354650253,11.396725,1
Obuasi,57.75135788,0.256887,85.17738865,1,2,1,2,2,1,1,0.13723476,0.3865189,7.707442,2
Offinso,17.1933642,0.0287149,28.24761038,2,4,3,5,7,3,9,0.151462804,0.407553165,7.157636,2
Offinso North,9.184595538,0.00948827,41.24575869,2,6,6,9,10,9,13,0.137996336,0.381712465,6.101725,2
Prestea-Huni Valley,47.66845982,0.0259326,37.09448601,9,15,9,17,28,7,31,0.146150948,0.360824747,22.15459,1
Pru,14.96878738,0.00452468,36.94757366,15,25,30,30,60,59,96,0.121261776,0.305790963,12.52459356,1
Pusiga,0.479094678,0.00180641,2.495758738,2,3,3,3,2,3,6,0.105630085,0.221144252,26.33376,3
Saboba,1.099872843,0.000606189,9.449669741,10,18,15,9,30,7,28,0.104008679,0.230456306,7.707442194,2
Sagnarigu,10.23918809,0.0493718,48.69699295,1,2,2,2,3,2,1,0.109672198,0.232315873,6.034440035,2
Savelugu-Nanton,2.754794399,0.00131361,39.6688756,9,19,18,14,38,14,38,0.135425805,0.236546672,6.287247,2
Sawla-Tuna-Kalba,3.53916587,0.000809441,13.96413086,21,39,45,45,81,73,98,0.114687669,0.27424923,17.38283,1
Sefwi-Akontombra,4.922405687,0.0043188,8.836261777,6,8,8,12,20,4,29,0.1570737,0.39752231,10.894075,2
Sefwi-Wiawso,17.67391953,0.0171516,35.79382184,5,7,6,11,16,5,22,0.148136128,0.410436356,26.6549,3
Sekondi-Takoradi,77.54030514,0.398768,96.05520885,1,2,1,1,2,1,1,0.135893189,0.294891923,44.92917,3
Sekyere Afram Plains,8.48202072,0.0143961,28.83890044,2,5,3,6,9,8,14,0.1591815,0.431738136,3.159082,2
Sekyere Central,7.818883574,0.00468516,31.67958221,4,13,10,17,27,23,27,0.135015261,0.38825011,8.028586,2
Sekyere East,11.04546938,0.0452278,54.07578974,1,2,2,2,3,2,5,0.136942075,0.398261695,14.31527,1
Sekyere Kumawu,7.247767662,0.00200958,4.025679007,10,34,22,43,78,75,77,0.126145086,0.374039068,6.422868495,2
Sekyere South,13.44824604,0.0315688,53.31191694,1,3,2,4,4,2,8,0.128597864,0.41384795,12.27023,2
Sene East,3.146249807,0.000699048,2.745326439,19,37,32,42,80,82,117,0.129346356,0.239003604,7.020182,2
Sene West,8.371010977,0.00250223,9.82684762,14,26,29,30,66,71,84,0.116582872,0.319933192,15.41488,1
Shai-Osudoku,23.76192751,0.0241126,3.268569089,4,5,6,10,13,16,20,0.09902965,0.291342302,8.6372365,2
Shama,35.3785128,0.180115,56.20623185,1,2,1,2,3,2,1,0.124652656,0.315523251,40.20294,3
Sissala East,0.693810891,0.000132757,18.79953297,27,43,40,50,99,51,70,0.107495653,0.246478831,11.24771,2
