ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,NAME2
723,Asutifi South,Asutifi South,ASUTIFI SOUTH,720,Asutifi,Asutifi,Brong Ahafo,596779285.9,597,3,4,4,7,7,4,15,Asutifi South
724,Dormaa West,Dormaa West,DORMAA WEST,706,Dormaa,Dormaa,Brong Ahafo,380443537.9,380,2,3,3,6,5,1,7,Dormaa West
725,Techiman North,Techiman North,TECHIMAN NORTH,708,Techiman,Techiman,Brong Ahafo,389305015.8,389,1,3,3,4,5,4,7,Techiman North
726,Banda,Banda,BANDA,722,Tain,Tain,Brong Ahafo,2296585630,2297,10,23,20,30,48,51,48,Banda
727,Sene East,Sene East,SENE EAST,721,Sene,Sene,Brong Ahafo,4400691052,4401,19,37,32,42,80,82,117,Sene East
801,Bole,Bole,BOLE,811,Bole,Bole,Northern,6165410715,6165,31,56,61,76,143,132,165,Bole
802,Sawla/Tuna/Kalba,Sawla/Tuna/Kalba,SAWLA-TUNA-KALBA,808,Sawla Tuna Kalba,Sawla Tuna Kalba,Northern,4223843942,4224,21,39,45,45,81,73,98,Sawla-Tuna-Kalba
803,West Gonja,West Gonja,WEST GONJA,825,Gonja West,Gonja West,Northern,4715460617,4715,24,43,43,43,103,56,139,West Gonja
804,Gonja Central,Gonja Central,GONJA CENTRAL,805,Gonja Central,Gonja Central,Northern,7559295676,7559,38,68,62,54,148,84,239,Central Gonja
805,East Gonja,East Gonja,EAST GONJA,816,Gonja East,Gonja East,Northern,8350985095,8351,40,71,78,62,157,122,258,East Gonja
806,Kpandai,Kpandai,KPANDAI,813,Kpandai,Kpandai,Northern,1135210117,1135,6,10,12,11,19,20,17,Kpandai
807,Nanumba South,Nanumba South,NANUMBA SOUTH,807,Nanumba South,Nanumba South,Northern,1793023655,1793,9,16,17,15,27,22,28,Nanumba South
808,Nanumba North,Nanumba North,NANUMBA NORTH,806,Nanumba North,Nanumba North,Northern,2265245609,2265,13,21,21,18,37,23,48,Nanumba North
809,Zabzugu,Zabzugu,ZABZUGU,817,Zabzugu Tatale,Zabzugu Tatale,Northern,1102850613,1103,6,11,10,7,17,9,5,Zabzugu
810,Yendi Municipal,Yendi Municipal,YENDI MUNICIPAL,802,Yendi,Yendi,Northern,1449458511,1449,9,13,12,8,24,13,11,Yendi
811,Tamale North Sub Metro,Tamale North Sub Metro,TAMALE METROPOLIS,801,Tamale,Tamale,Northern,647672542.7,648,3,6,6,5,11,7,8,Tamale
812,Tolon,Tolon,TOLON,826,Tolon Kumbungu,Tolon Kumbungu,Northern,1354553389,1355,6,14,13,9,24,11,31,Tolon
813,Savelugu Nanton,Savelugu Nanton,SAVELUGU NANTON,803,Savelugu Nanton,Savelugu Nanton,Northern,2024894741,2025,9,19,18,14,38,14,38,Savelugu-Nanton
814,Karaga,Karaga,KARAGA,812,Karaga,Karaga,Northern,3123969931,3124,18,29,23,18,49,12,76,Karaga
815,Gushiegu,Gushiegu,GUSHIEGU,810,Gushegu,Gushegu,Northern,2679059053,2679,15,25,21,16,45,12,52,Gushiegu
816,Saboba,Saboba,SABOBA,815,Saboba,Saboba,Northern,1755183178,1755,10,18,15,9,30,7,28,Saboba
817,Chereponi,Chereponi,CHEREPONI,814,Chereponi,Chereponi,Northern,1377961980,1378,7,16,12,9,27,3,46,Chereponi
818,Bunkpurugu Yonyo,Bunkpurugu Yonyo,BUNKPURUGU YONYO,804,Bunkpurugu Yunyoo,Bunkpurugu Yunyoo,Northern,1259670900,1260,6,12,12,11,25,7,35,Bunkpurugu-Yunyoo
819,Mamprusi East,Mamprusi East,EAST MAMPRUSI,809,Mamprusi East,Mamprusi East,Northern,1709519918,1710,9,16,15,14,31,10,44,East Mamprusi
820,West Mamprusi,West Mamprusi,WEST MAMPRUSI,818,Mamprusi West,Mamprusi West,Northern,2613240684,2613,14,25,20,19,49,16,60,West Mamprusi
821,North Gonja,North Gonja,NORTH GONJA,825,Gonja West,Gonja West,Northern,4846667821,4847,22,51,44,39,119,52,148,North Gonja
822,Kumbumgu,Kumbumgu,KUMBUMGU,826,Tolon Kumbungu,Tolon Kumbungu,Northern,1542314965,1542,7,15,13,11,29,12,32,Kumbungu
823,Sagnerigu,Sagnerigu,SAGNERIGU MUNICIPAL,801,Tamale,Tamale,Northern,200628386.3,201,1,2,2,2,3,2,1,Sagnarigu
