FID,ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,Precip,NDVI
51,312.000000000000000,La Dade Kotopon,La Dade Kotopon,LA DADE KOTOPON MUNICIPAL,102.000000000000000,AMA,AMA,Greater Accra,36102589.041722297668457,36,0.094478504277800,0.178732012096000
52,313.000000000000000,La Nkwantanang Madina,La Nkwantanang Madina,LA NKWANTANG MADINA MUNICIPAL,104.000000000000000,Ga East,Ga East,Greater Accra,71023483.950810700654984,71,0.103399037292000,0.250896720754000
53,314.000000000000000,Kpone Katamanso,Kpone Katamanso,KPONE KATAMANSO,101.000000000000000,Tema,Tema,Greater Accra,240351931.064999997615814,240,0.099468208849400,0.234008312292000
54,315.000000000000000,Ningo Prampram,Ningo Prampram, ,116.000000000000000,Dangme West,Dangme West,Greater Accra,623648973.955000042915344,624,0.103786988053000,0.206148136474000
55,316.000000000000000,Ada West,Ada West,ADA WEST,112.000000000000000,Dangme East,Dangme East,Greater Accra,324575036.774999976158142,325,0.102428498450000,0.207391067178000
56,401.000000000000000,South Tongu,South Tongu,SOUTH TONGU,606.000000000000000,Tongu South,Tongu South,Volta,645458417.939000010490417,645,0.097699121110800,0.280946069704000
57,402.000000000000000,Keta Municipal,Keta Municipal,KETA MUNICAPAL,601.000000000000000,Keta,Keta,Volta,755488142.893000006675720,755,0.095553622714100,0.102420758629000
58,403.000000000000000,Ketu South,Ketu South,KETU SOUTH,613.000000000000000,Ketu South,Ketu South,Volta,279272691.508000016212463,279,0.096542976819700,0.235051031681000
59,404.000000000000000,Ketu North,Ketu North,KETU NORTH,609.000000000000000,Ketu North,Ketu North,Volta,425156237.037000000476837,425,0.095880901916300,0.294231778305000
60,405.000000000000000,Akatsi South,Akatsi South,AKATSI,621.000000000000000,Akatsi,Akatsi,Volta,537634608.779999971389771,538,0.100490011275000,0.316651800213000
61,406.000000000000000,Central Tongu,Central Tongu,CENTRAL TONGU,620.000000000000000,Tongu North,Tongu North,Volta,684149014.718000054359436,684,0.103003440146000,0.311959670040000
62,407.000000000000000,Agotime Ziope,Agotime Ziope,AGOTIME ZIOPE,624.000000000000000,Adaklu Anyigbe,Adaklu Anyigbe,Volta,316587473.254000008106232,317,0.101958442772000,0.336543974372000
63,409.000000000000000,South Dayi,South Dayi,SOUTH DAYI,607.000000000000000,Dayi South,Dayi South,Volta,359107273.075999975204468,359,0.104085311529000,0.253440410920000
64,410.000000000000000,Kpando Municipal,Kpando Municipal,KPANDAI MUNICIPAL,603.000000000000000,Dayi North,Dayi North,Volta,314850741.228999972343445,315,0.112904107827000,0.263699696415000
65,411.000000000000000,Hohoe Municipal,Hohoe Municipal,HOHOE MUNICIPAL,602.000000000000000,Hohoe,Hohoe,Volta,686027991.138000011444092,686,0.123903035437000,0.469298086097000
66,412.000000000000000,Biakoye,Biakoye,BIAKOYE,611.000000000000000,Biakoye,Biakoye,Volta,1108666244.779999971389771,1109,0.124408541102000,0.266019585078000
67,413.000000000000000,Jasikan,Jasikan,JASIKAN,614.000000000000000,Jasikan,Jasikan,Volta,557320755.879999995231628,557,0.137418553140000,0.476262430415000
68,415.000000000000000,Krachi East,Krachi East,KRACHI EAST,608.000000000000000,Krachi East,Krachi East,Volta,2765968670.039999961853027,2766,0.141099386668000,0.171961896154000
69,416.000000000000000,Krachi West,Krachi West,KRACHI WEST,617.000000000000000,Krachi West,Krachi West,Volta,930279353.845999956130981,930,0.143985858179000,0.148726212663000
70,417.000000000000000,Nkwanta South,Nkwanta South,NKWANTA SOUTH,612.000000000000000,Nkwanta South,Nkwanta South,Volta,2740257364.030000209808350,2740,0.146986635144000,0.363505456962000
71,418.000000000000000,Nkwanta North,Nkwanta North,NKWANTA NORTH,610.000000000000000,Nkwanta North,Nkwanta North,Volta,1101566407.250000000000000,1102,0.149055326908000,0.272914923927000
72,419.000000000000000,North Tongu,North Tongu,NORTH TONGU,620.000000000000000,Tongu North,Tongu North,Volta,1134473722.329999923706055,1134,0.143685490388000,0.304312540880000
73,420.000000000000000,Akatsi North,Akatsi North,AKATSI NORTH,612.000000000000000,Nkwanta South,Nkwanta South,Volta,315139446.241999983787537,315,0.137273240111000,0.329408285985000
74,421.000000000000000,Adaklu,Adaklu,ADAKLU,624.000000000000000,Adaklu Anyigbe,Adaklu Anyigbe,Volta,803051559.070000052452087,803,0.141392433513000,0.330798088097000
75,422.000000000000000,Ho West,Ho West,HO WEST,604.000000000000000,Ho,Ho,Volta,1005360206.340000033378601,1005,0.136948352268000,0.407270149975000
76,423.000000000000000,Afadzato South,Afadzato South,AFADZATO SOUTH,602.000000000000000,Hohoe,Hohoe,Volta,554472012.677000045776367,554,0.108867486316000,0.421444332896000
77,424.000000000000000,North Dayi,North Dayi,NORTH DAYI,603.000000000000000,Dayi North,Dayi North,Volta,463881819.822000026702881,464,0.106518190230000,0.186723103318000
78,425.000000000000000,Krachi Nchumuru,Krachi Nchumuru,KRACHI NCHUMURU,617.000000000000000,Krachi West,Krachi West,Volta,1197285173.549999952316284,1197,0.112112541666000,0.245246182714000
79,501.000000000000000,Birim South,Birim South,BIRIM SOUTH,417.000000000000000,Birim South,Birim South,Eastern,726622860.187999963760376,727,0.121134622156000,0.385873856804000
80,502.000000000000000,Birim Municipal,Birim Municipal,BIRIM MUNICIPAL,402.000000000000000,Birim Central,Birim Central,Eastern,525742871.689999997615814,526,0.133358142651000,0.370297161954000
81,503.000000000000000,West Akim,West Akim,WEST AKIM MUNICIPAL,409.000000000000000,Akim West,Akim West,Eastern,475635514.828999996185303,476,0.130729579748000,0.389936010977000
82,504.000000000000000,Suhum Municipal,Suhum Municipal,SUHUM MUNICIPAL,408.000000000000000,Suhum Kraboa Coaltar,Suhum Kraboa Coaltar,Eastern,359574547.467000007629395,360,0.134649963799000,0.432851838634000
83,505.000000000000000,Nsawam Adoagyiri,Nsawam Adoagyiri,NSAWAM ADOAGYIRI MUNICIPAL,420.000000000000000,Akwapim South,Akwapim South,Eastern,175270150.837000012397766,175,0.133983797587000,0.345490132586000
84,506.000000000000000,Akwapem North,Akwapem North,AKWAPEM NORTH,405.000000000000000,Akwapim North,Akwapim North,Eastern,614340363.154000043869019,614,0.131241717124000,0.456173734488000
85,507.000000000000000,New Juaben Municipal,New Juaben Municipal,NEW JUABEN MUNICIPAL,401.000000000000000,New Juaben,New Juaben,Eastern,159982397.236000001430511,160,0.129287800994000,0.384500627160000
86,508.000000000000000,Yilo Krobo,Yilo Krobo,YILO KROBO,410.000000000000000,Yilo Krobo,Yilo Krobo,Eastern,484354059.046000003814697,484,0.125839046285000,0.459961441259000
87,509.000000000000000,Lower Manya,Lower Manya,LOWER MANYA-KROBO,406.000000000000000,Lower Manya Krobo,Lower Manya Krobo,Eastern,304998793.161000013351440,305,0.114117677056000,0.409309043540000
88,510.000000000000000,Asuogyaman,Asuogyaman,ASUOGYAMAN,412.000000000000000,Asuogyaman,Asuogyaman,Eastern,767586617.473000049591064,768,0.115866367584000,0.257929994399000
89,511.000000000000000,Upper Manya,Upper Manya,UPPER MANYA-KROBO,416.000000000000000,Upper Manya Krobo,Upper Manya Krobo,Eastern,860792140.394000053405762,861,0.124872476453000,0.335438994636000
90,512.000000000000000,Fanteakwa,Fanteakwa,FANTEAKWA,411.000000000000000,Fanteakwa,Fanteakwa,Eastern,1100600338.119999885559082,1101,0.121731841235000,0.391518179935000
91,513.000000000000000,East Akim,East Akim,EAST AKIM MUNICIPAL,404.000000000000000,Akim East,Akim East,Eastern,509107487.814999997615814,509,0.118108071750000,0.446641840442000
92,514.000000000000000,Kwaebibirem,Kwaebibirem,KWAEBIBIREM,422.000000000000000,Kwaebibirem,Kwaebibirem,Eastern,804352017.093999981880188,804,0.121793797718000,0.373705346869000
93,515.000000000000000,Akyem Mansa,Akyem Mansa,AKYEMANSA,418.000000000000000,Akyemansa,Akyemansa,Eastern,612280259.937000036239624,612,0.124927579374000,0.410543817509000
94,516.000000000000000,Birim North,Birim North,BIRIM NORTH,419.000000000000000,Birim North,Birim North,Eastern,566998376.570999979972839,567,0.133843507413000,0.399108912845000
95,517.000000000000000,Atiwa,Atiwa,ATIWA,414.000000000000000,Atiwa,Atiwa,Eastern,1166836620.880000114440918,1167,0.132015781553000,0.370228237680000
96,518.000000000000000,Kwahu West,Kwahu West,KWAHU WEST MUNICIPAL,403.000000000000000,Kwahu West,Kwahu West,Eastern,401371708.472999989986420,401,0.139626062817000,0.382255273765000
97,519.000000000000000,Kwahu South,Kwahu South,KWAHU SOUTH,413.000000000000000,Kwahu South,Kwahu South,Eastern,796894394.434000015258789,797,0.140777251878000,0.354287129736000
98,520.000000000000000,Kwahu East,Kwahu East,KWAHU EAST,415.000000000000000,Kwahu East,Kwahu East,Eastern,624016127.911000013351440,624,0.143714069390000,0.412645191141000
99,521.000000000000000,Kwahu Afram Plains North,Kwahu Afram Plains North,KWAHU AFRAM PLAINS NORTH,423.000000000000000,Kwahu North,Kwahu North,Eastern,2346311788.610000133514404,2346,0.140217448447000,0.132484239400000
100,522.000000000000000,Upper West Akim,Upper West Akim,UPPER WEST AKIM,409.000000000000000,Akim West,Akim West,Eastern,342793960.184000015258789,343,0.141610871358000,0.406333966957000
101,523.000000000000000,Akwapem South,Akwapem South,AKWAPEM SOUTH,420.000000000000000,Akwapim South,Akwapim South,Eastern,224539877.956999987363815,225,0.135868039158000,0.406141083409000
102,524.000000000000000,Ayensuano,Ayensuano,AYENSUANO,408.000000000000000,Suhum Kraboa Coaltar,Suhum Kraboa Coaltar,Eastern,499771116.808000028133392,500,0.136235817868000,0.432527967440000
103,525.000000000000000,Denkyembour,Denkyembour,DENKYEMBOUR,422.000000000000000,Kwaebibirem,Kwaebibirem,Eastern,436728895.439999997615814,437,0.129436025755000,0.366988881047000
104,526.000000000000000,Kwahu Afram Plains South,Kwahu Afram Plains South,KWAHU AFRAM PLAINS SOUTH,423.000000000000000,Kwahu North,Kwahu North,Eastern,3100130372.179999828338623,3100,0.120387422736000,0.296467936385000
105,601.000000000000000,Atwima Mponua,Atwima Mponua,ATWIMA MPONUA,518.000000000000000,Atwima Mponua,Atwima Mponua,Ashanti,1882299755.970000028610229,1882,0.111697337606000,0.432252429570000
106,602.000000000000000,Amansie West,Amansie West,AMANSIE WEST,512.000000000000000,Amansie West,Amansie West,Ashanti,1230683967.970000028610229,1231,0.123628159639000,0.406899602287000
107,603.000000000000000,Amansie Central,Amansie Central,AMANSIE CENTRAL,517.000000000000000,Amansie Central,Amansie Central,Ashanti,849546248.248000025749207,850,0.136395080679000,0.416684070199000
108,604.000000000000000,Adansi South,Adansi South,ADANSI SOUTH,515.000000000000000,Adansi South,Adansi South,Ashanti,1328606201.599999904632568,1329,0.131095091040000,0.422333395783000
109,605.000000000000000, ,Obuasi Municipal,OBUASI MUNICIPAL,502.000000000000000,Obuasi,Obuasi,Ashanti,220695241.789000004529953,221,0.137234760105000,0.386518899751000
110,606.000000000000000,Adansi North,Adansi North,ADANSI NORTH,516.000000000000000,Adansi North,Adansi North,Ashanti,853914797.618000030517578,854,0.145558812081000,0.456756229299000
111,607.000000000000000,Bekwai Municipal,Bekwai Municipal,BEKWAI MUNICIPAL,504.000000000000000,Bekwai,Bekwai,Ashanti,535349827.565999984741211,535,0.149593820412000,0.414460365945000
112,608.000000000000000,Bosome Freho,Bosome Freho,BOSOME FREHO,520.000000000000000,Bosome Freho,Bosome Freho,Ashanti,569063268.169000029563904,569,0.145404432300000,0.448868682081000
113,609.000000000000000,Asante Akim South,Asante Akim South,ASANTE AKIM SOUTH,513.000000000000000,Asante Akim South,Asante Akim South,Ashanti,1154146996.849999904632568,1154,0.150176595092000,0.413428012506000
114,610.000000000000000,Asante Akim Central Municipal,Asante Akim Central Municipal,ASANTE AKIM CENTRAL MUNICIPAL,528.000000000000000,Asante Akim North,Asante Akim North,Ashanti,300426025.478999972343445,300,0.147169420524000,0.407416029864000
115,611.000000000000000,Ejisu Juaben,Ejisu Juaben,EJISU JUABEN MUNICIPAL,503.000000000000000,Ejisu Juaben,Ejisu Juaben,Ashanti,582699035.962000012397766,583,0.145405802169000,0.366220841903000
116,612.000000000000000,Bosomtwe /Atwima / Kwanwoma,Bosomtwe /Atwima / Kwanwoma,BOSUMTWI,527.000000000000000,Bosomtwe,Bosomtwe,Ashanti,422606561.524999976158142,423,0.145551245090000,0.356118255835000
117,613.000000000000000,Atwima Kwanwoma,Atwima Kwanwoma,ATWIMA KWANWOMA,521.000000000000000,Atwima Kwamwoma,Atwima Kwamwoma,Ashanti,251521789.611999988555908,252,0.142259767204000,0.356006608044000
118,614.000000000000000,Kma,Kma,KUMASI METROPOLIS,501.000000000000000,Kumasi,Kumasi,Ashanti,214312257.773999989032745,214,0.139577332227000,0.199072123822000
119,615.000000000000000,Atwima Nwabiagya,Atwima Nwabiagya,ATWIMA NWABIAGYA,514.000000000000000,Atwima Nwabiagye,Atwima Nwabiagye,Ashanti,579158902.218000054359436,579,0.146367153807000,0.374707415753000
120,616.000000000000000,Ahafo Ano South,Ahafo Ano South,AHAFO ANO SOUTH,510.000000000000000,Ahafo Ano South,Ahafo Ano South,Ashanti,1190404402.730000019073486,1190,0.147101353382000,0.442771154967000
121,617.000000000000000,Ahafo Ano North,Ahafo Ano North,AHAFO ANO NORTH,511.000000000000000,Ahafo Ano North,Ahafo Ano North,Ashanti,593322378.054999947547913,593,0.143635067147000,0.435151044273000
122,618.000000000000000,Offinso Municipal,Offinso Municipal,OFFINSO MUNICIPAL,506.000000000000000,Offinso,Offinso,Ashanti,585671791.029000043869019,586,0.151462804305000,0.407553164566000
123,619.000000000000000,Afigya Kwabre,Afigya Kwabre,AFIGYA KWABRE,525.000000000000000,Afigya Kwabre,Afigya Kwabre,Ashanti,409422376.939999997615814,409,0.138637319079000,0.370766904026000
124,620.000000000000000,Kwabre,Kwabre,KWABRE EAST,524.000000000000000,Kwabre East,Kwabre East,Ashanti,122990188.452999994158745,123,0.130713556661000,0.277710698982000
125,621.000000000000000,Afigya Sekyere,Afigya Sekyere,AFIGYA SEKYERE,523.000000000000000,Afigya Sekyere,Afigya Sekyere,Ashanti,416901955.811999976634979,417,0.128597864004000,0.413847950458000
126,622.000000000000000,Mampong Municipal,Mampong Municipal,MAMPONG MUNICIPAL,505.000000000000000,Mampong,Mampong,Ashanti,670447999.447999954223633,670,0.128505982975000,0.405940965940000
127,623.000000000000000,Sekyere East,Sekyere East,SEKYERE EAST,526.000000000000000,Sekyere East,Sekyere East,Ashanti,239245042.817000001668930,239,0.136942075051000,0.398261694537000
128,624.000000000000000,Sekyere Afram Plains,Sekyere Afram Plains,SEKYERE AFRAM PLAINS,529.000000000000000,Sekyere Afram Plains,Sekyere Afram Plains,Ashanti,576942996.710000038146973,577,0.159181499505000,0.431738136177000
129,625.000000000000000,Sekyere Central,Sekyere Central,SEKYERE CENTRAL,519.000000000000000,Sekyere Central,Sekyere Central,Ashanti,1632232263.259999990463257,1632,0.135015260559000,0.388250109559000
130,626.000000000000000,Ejura Sekye Dumase,Ejura Sekye Dumase,EJURA SEKYE DUMASI,509.000000000000000,Ejura Sekyedumase,Ejura Sekyedumase,Ashanti,1340670001.279999971389771,1341,0.130521780880000,0.356955954329000
131,627.000000000000000,Offinso North,Offinso North,OFFINSO NORTH,522.000000000000000,Offinso North,Offinso North,Ashanti,945746714.500000000000000,946,0.137996336073000,0.381712465260000
